Database,Execution_1,Execution_2,Execution_3,Execution_4,Execution_5,Execution_6,Execution_7,Execution_8,Execution_9,Execution_10,Execution_11
nosql_astradb (astradb),3.5037,3.281,4.0586,3.2249,3.7496,3.836,4.4573,3.0827,2.4378,2.4055,7.4574
nosql_influxdb (influxdb),1.4296,0.9157,1.4133,2.0965,1.2658,1.2666,1.793,0.8928,0.6849,0.6816,1.2686
nosql_milvus (milvus),1.6547,1.487,1.4556,2.3404,1.5262,1.635,1.4719,0.9592,0.7934,0.6256,1.2295
nosql_mongodb (mongodb),0.084,0.0663,0.042,0.0882,0.0899,0.0398,0.0859,0.0419,0.0424,0.047,0.0547
nosql_neo4j (neo4j),0.088,0.0593,0.0882,0.0847,0.0911,0.0906,0.1188,0.0526,0.0503,0.0509,0.4348
nosql_qdrant (qdrant),4.7211,3.6637,4.8372,3.7133,4.1055,5.0952,5.31,3.2515,2.192,2.1503,12.1921
sql_aiven (mysql),0.1021,0.0939,0.1165,0.092,0.1001,0.0987,0.0584,0.0599,0.0503,0.0648,0.0691
sql_cratedb (cratedb),0.0844,0.0831,0.0851,0.0586,0.0898,0.0849,0.0545,0.0599,0.0564,0.0603,0.0609
sql_koyeb (postgres),0.0884,0.0846,0.0842,0.06,0.085,0.0853,0.0519,0.086,0.0497,0.0542,0.0548
sql_mariadb (mariadb),0.0571,0.0552,0.0895,0.0551,0.0988,0.0545,0.0633,0.0692,0.0551,0.0585,0.1025
sql_neon (postgres),0.0836,0.0846,0.0983,0.0458,0.0859,0.0873,0.0767,0.2213,0.0458,0.0471,0.128
sql_supabase (postgres),0.0846,0.0842,0.11,0.0488,0.128,0.0826,0.044,0.0383,0.0411,0.0402,0.1017
sql_tidb (tidb),0.0877,0.0873,0.11,0.088,0.0918,0.093,0.0517,0.0896,0.0524,0.0728,0.0632
sql_tiger (postgres),0.1051,0.1038,0.2422,0.108,0.1059,0.104,0.1058,0.1036,0.1044,0.1076,0.1056
sql_yugabyte (postgres),0.0875,0.0378,0.0853,0.0414,0.0829,0.0855,0.091,0.0413,0.0416,0.0448,0.1382
